query,match,comments
Pteris ensiformis Burm.f.,Pteris ensiformis Burm.,NA
Pteris inaequalis C.Presl,Pteris inaequalis Baker,NA
Pteris litoralis Rech.,Pteris litoralis Rechinger,NA
Pteris lydgatei (Baker) H.Christ,Pteris lidgatei (Baker) Christ,NA
Pteris microptera Mett.,Pteris microptera Mett.; Kuhn,NA
Pteris nipponica W.C.Shieh,Pteris nipponica Shieh,NA
Pteris stenophylla C.Presl,Pteris stenophylla Link,NA
Pteris usambarensis Hieron.,Pteris usambarensis Hier.,NA
Pteris vittata 'nano',Pteris vittata L.,NA
Pteris woodwardioides Bory ex Willd.,Pteris woodwardioides Bory; Willd.,NA
Pteris x sefuricola Kurata,Pteris sefuricola Sa.Kurata,NA
Pyrrosia lanceolata Farw.,Pyrrosia lanceolatus (L.) Farw.,NA
Pyrrosia longifolia (Burm.f.) C.V.Morton,Pyrrosia longifolia (Burm.f.) Morton,NA
Pyrrosia matsudae (Hayata) Tagawa,Pyrrosia matsudai (Hayata) Tagawa,NA
Rouxopteris boryi (Kunze) H.M.Liu,Rouxopteris boryi (Kunze) Hong M.Liu,NA
Sadleria wagneriana D.D.Palmer & Flynn,Sadleria wagneriana D.D.Palmer & T.Flynn,NA
Salvinia molesta D.S. Mitch.,Salvinia molesta D.Mitch.,NA
Salvinia oblongifolia Martius,Salvinia oblongifolia Mart.,NA
Schizaea biroi V.A.Richt.,Schizaea biroi Richter,NA
Schizaea dichotoma (L.) J.Sm.,Schizaea dichotoma Kunze,NA
Schizaea fluminensis Miers ex J.W.Sturm,Schizaea fluminensis Miers; Sturm,NA
"Schizaea medusa L.Y.Kuo, B.F.Ke, F.W.Li, & Rouhan","Schizaea medusa L.Y.Kuo, B.F.Ke, Fay W.Li & Rouhan",NA
"Selliguea albipes (C.Chr. & Ching) S.G.Lu, Hovenkamp & M.G.Gilbert","Selliguea albopes (C.Chr. & Ching) S.G.Lu, Hovenkamp & M.G.Gilbert",NA
Selliguea feeoides Copel.,Selliguea feeioides Copel.,NA
Serpocaulon menisciifolium (Langsd. & Fisch.) A.R.Sm.,Serpocaulon meniscifolium (Langsd. & Fisch.) A.R.Sm.,NA
Sphaerostephanos heterocarpos (Blume) Holttum,Sphaerostephanos heterocarpus (Blume) Holttum,NA
